Word,General Offensiveness (1 through 4),Sexual,Racist,Sexist,Drug-related
420,,,,,2
666,2,,,,
69,,2,,,
2 girls 1 cup,,3,,,
2g1c,,2,,,
4r5e,1,,,,
5h1t,1,,,,
5hit,1,,,,
a_s_s,,2,,,
a55,,2,,,
abbo,,,3,,
abo,,,3,,
abortion,,2,,,
acrotomophilia,,3,,,
african,,,1,,
alabama hot pocket,,3,,,
alaskan pipeline,,3,,,
alla,,,1,,
allah,,,1,,
alligator bait,,,4,,
amateur,,2,,,
anal,,3,,,
anal sex,,3,,,
anilingus,,4,,,
anus,,3,,,
apeshit,1,,,,
ar5e,,1,,,
arab,,,1,,
arabs,,,1,,
areola,,2,,,
,,,,,
aroused,,2,,,
arousing,,2,,,
arrse,,1,,,
arse,,1,,,
arsehole,2,2,,,
asian,,,1,,
ass,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
assbagger,,,,,
assblaster,,,,,
assclown,,,,,
asscowboy,,,,,
asses,,,,,
assfuck,,,,,
assfucker,,,,,
ass-fucker,,,,,
assfukka,,,,,
asshat,,,,,
asshole,,,,,
assholes,,,,,
asshore,,,,,
assjockey,,,,,
asskiss,,,,,
asskisser,,,,,
assklown,,,,,
asslick,,,,,
asslicker,,,,,
asslover,,,,,
assman,,,,,
assmonkey,,,,,
assmunch,,,,,
assmuncher,,,,,
asspacker,,,,,
asspirate,,,,,
asspuppies,,,,,
assranger,,,,,
asswhole,,,,,
asswhore,,,,,
asswipe,,,,,
athletesfoot,,,,,
auto erotic,,,,,
b!tch,,,,,
b00bs,,,,,
b17ch,,,,,
b1tch,,,,,
babe,,,,1,
babeland,,3,,,
baby batter,,2,,,
baby juice,,2,,,
backdoor,,2,,,
backdoorman,,3,,,
backseat,,2,,,
badfuck,,3,,,
ball gag,,3,,,
ball gravy,,3,,,
ball kicking,,2,,,
ball licking,,3,,,
ball sack,,2,,,
ball sucking,,3,,,
ballbag,,1,,,
balllicker,,2,,,
balls,,1,,,
bangbros,,4,,,
banging,,2,,,
bareback,,3,,,
barely legal,,3,,,
barenaked,,2,,,
bast,1,,,,
bastard,2,,,,
bastardo,2,,,,
bastinado,2,,,,
bazongas,,2,,,
bazooms,,1,,,
bbw,,3,,,
bdsm,,2,,,
beaner,,,2,,
beaners,,,2,,
beastality,,2,,,
beastial,,2,,,
beastiality,,2,,,
beatoff,,2,,,
beat-off,,2,,,
beatyourmeat,,2,,,
beaver,,2,,,
beaver cleaver,,3,,,
beaver lips,,3,,,
bellend,1,,,,
bestial,,,,,
bestiality,,2,,,
bi+ch,,,,2,
biatch,,,,2,
,,,,,
bicurious,,2,,,
big bastard,,,,,
big black,,3,,,
big breasts,,3,,,
big knockers,,2,,,
big tits,,3,,,
bigbutt,,2,,,
,,,,,
bimbos,,3,,3,
birdlock,,,,,
bisexual,,2,,,
,,2,,,
bitch,,,,2,
bitcher,,,,,
bitchers,,,,,
bitches,,,,,
bitchez,,,,,
bitchin,,,,,
bitching,,,,,
bitchslap,,,,,
bitchy,,,,,
biteme,,,,,
,,,,,
black cock,,3,,2,
blackman,,,,1,
,,,,,
blacks,,,,2,
,,,,,
blonde action,,,,,
blonde on blonde action,,,,,
bloody,,,,,
blow,,,,,
blow job,,,,,
blow your load,,,,,
blowjobs,,,,,
blue waffle,,,,,
blumpkin,,,,,
boang,,,,,
bogan,,,,,
bohunk,,,,,
boiolas,,,,,
,,,,,
bollock,1,,,,
bollocks,1,,,,
bollok,1,,,,
bomb,1,,,,
bombers,2,,,,
bombing,2,,,,
bombs,2,,,,
,,,,,
bondage,,3,,,
boner,,3,,,
bong,,,,,2
boob,,2,,,
boobies,,2,,,
boobs,,2,,,
booby,,2,,,
boody,,2,,,
boong,,,,,
boonga,,,,,
boonie,,,,,
booobs,,,,,
boooobs,,,,,
booooobs,,,,,
booooooobs,,,,,
booty,,2,,,
booty call,,2,,,
bountybar,,,,,
bra,,,,,
brea5t,,2,,,
breast,,2,,,
breastjob,,2,,,
breastlover,,2,,,
breastman,,2,,,
breasts,,2,,,
brothel,,2,,,
brown showers,,3,,,
brunette action,,3,,,
buceta,,,,,
bugger,,,,,
buggered,,,,,
buggery,,,,,
bukkake,,,,,
bullcrap,,,,,
bulldike,,,,,
bulldyke,,,,,
bullet vibe,,,,,
bullshit,,,,,
bum,,,,,
bumblefuck,,,,,
bumfuck,,,,,
bung hole,,,,,
bunga,,,,,
bunny fucker,,,,,
buried,,,,,
burn,,,,,
busty,,,,,
butchbabes,,,,,
butchdike,,,,,
butchdyke,,,,,
butt,,,,,
buttbang,,,,,
butt-bang,,,,,
buttcheeks,,,,,
buttface,,,,,
buttfuck,,,,,
butt-fuck,,,,,
buttfucker,,,,,
butt-fucker,,,,,
buttfuckers,,,,,
butt-fuckers,,,,,
butthead,,,,,
butthole,,,,,
buttman,,,,,
buttmuch,,,,,
buttmunch,,,,,
buttmuncher,,,,,
buttpirate,,,,,
buttplug,,,,,
buttstain,,,,,
byatch,,,,,
c0ck,,,,,
c0cksucker,,,,,
cacker,,,,,
camel toe,,,,,
cameljockey,,,,,
camgirl,,,,,
camslut,,,,,
camwhore,,,,,
canadian,,,,,
cancer,,,,,
carpet muncher,,,,,
carruth,,,,,
catholic,,,,,
catholics,,,,,
cawk,,,,,
cemetery,,,,,
chav,,,,,
cherrypopper,,3,,,
chickslick,,,,,
chin,,,,,
chinaman,,,,,
chinamen,,,,,
chinese,,,,,
chink,,,,,
chinky,,,,,
choad,,,,,
chocolate rosebuds,,,,,
chode,,,,,
cum dumpster,,4,,4,
cipa,,,,,
circlejerk,,,,,
cl1t,,,,,
clamdigger,,,,,
clamdiver,,,,,
cleveland steamer,,,,,
clit,,,,,
clitoris,,,,,
clits,,,,,
clogwog,,,,,
clover clamps,,,,,
clusterfuck,,,,,
cnut,,,,,
cocaine,,,,,
cock,,,,,
cockblock,,,,,
cockblocker,,,,,
cockcowboy,,,,,
cockface,,,,,
cockfight,,,,,
cockhead,,,,,
cockknob,,,,,
cocklicker,,,,,
cocklover,,,,,
cockmunch,,,,,
cockmuncher,,,,,
cocknob,,,,,
cockqueen,,,,,
cockrider,,,,,
cocks,,,,,
cocksman,,,,,
cocksmith,,,,,
cocksmoker,,,,,
cocksucer,,,,,
cocksuck,,,,,
cocksucked,,,,,
cocksucker,,,,,
cock-sucker,,,,,
cocksucking,,,,,
cocksucks,,,,,
cocksuka,,,,,
cocksukka,,,,,
cocktail,,,,,
cocktease,,,,,
cocky,,,,,
cohee,,,,,
coitus,,,,,
cok,,,,,
cokmuncher,,,,,
coksucka,,,,,
color,,,,,
colored,,,,,
coloured,,,,,
commie,,,,,
communist,,,,,
condom,,,,,
conservative,,,,,
conspiracy,,,,,
coolie,,,,,
cooly,,,,,
coon,,,,,
coondog,,,,,
coons,,,,,
coprolagnia,,,,,
coprophilia,,,,,
copulate,,,,,
cornhole,,,,,
corruption,,,,,
cox,,2,,,
cra5h,,,,,
crabs,,,,,
crack,,,,,
crackpipe,,,,,
crackwhore,,,,,
crack-whore,,,,,
crap,,,,,
crapola,,,,,
crapper,,,,,
crappy,,,,,
crash,,,,,
creampie,,,,,
creamy,,,,,
cuck,,,,,
cucked,,,,,
crotch,,1,,,
crotchjockey,,2,,,
crotchmonkey,,2,,,
crotchrot,,3,,,
cum,,3,,,
cumbubble,,4,,,
cumfest,,4,,,
cumjockey,,4,,3,
cumm,,3,,,
cummer,,3,,,
cumming,,3,,,
cumquat,,3,,,
cumqueen,,3,,3,
cums,,3,,,
cumshot,,4,,,
cunilingus,,3,,,
